 ,Area,Mean,StdDev,BX,BY,Width,Height,Major,Minor,Angle,Circ.,AR,Round,Solidity
1,0.003556,85.137500,42.358004,2.360000,1.193333,0.066667,0.073333,0.072213,0.062690,102.430302,0.822043,1.151908,0.868125,0.883978
2,0.004178,94.117021,35.556335,1.573333,1.313333,0.066667,0.086667,0.081286,0.065440,74.297661,0.801714,1.242150,0.805056,0.895238
3,0.004578,81.757282,34.577313,2.026667,1.433333,0.066667,0.080000,0.083445,0.069850,75.027260,0.862976,1.194627,0.837081,0.940639
4,0.003067,66.623188,41.678632,2.773333,1.493333,0.060000,0.066667,0.068362,0.057116,58.006231,0.870734,1.196899,0.835492,0.907895
5,0.004133,72.677419,39.296279,1.513333,1.566667,0.066667,0.086667,0.082266,0.063972,78.943826,0.817961,1.285975,0.777620,0.889952
6,0.003556,96.975000,35.707967,2.986667,1.626667,0.080000,0.066667,0.073747,0.061387,30.839986,0.838416,1.201346,0.832400,0.883978
7,0.003700,70.840841,10.833427,2.283333,1.630000,0.066667,0.076667,0.077797,0.060555,60.080823,0.849534,1.284746,0.778364,0.930168
8,0.004044,93.901099,34.490245,2.553333,1.640000,0.073333,0.080000,0.082017,0.062786,138.267835,0.800370,1.306290,0.765527,0.887805
9,0.003456,27.627010,25.901347,1.773333,1.646667,0.076667,0.060000,0.077443,0.056813,167.073210,0.892210,1.363110,0.733616,0.936747
10,0.003689,66.469880,42.703315,1.300000,1.706667,0.066667,0.066667,0.077183,0.060853,45.388370,0.894760,1.268340,0.788432,0.943182
11,0.003333,73.840000,52.895060,2.100000,1.800000,0.073333,0.060000,0.071760,0.059143,152.111380,0.797148,1.213327,0.824180,0.892857
12,0.004089,88.782609,35.388949,1.700000,1.926667,0.066667,0.080000,0.081450,0.063918,105.389910,0.845835,1.274281,0.784756,0.910891
13,0.003222,24.000000,0.000000,2.560000,1.930000,0.076667,0.056667,0.072703,0.056431,177.086898,0.884621,1.288361,0.776180,0.935484
14,0.004178,65.978723,43.422877,2.226667,1.940000,0.086667,0.066667,0.086045,0.061820,16.765343,0.852989,1.391867,0.718460,0.912621
15,0.003333,86.000000,38.281478,2.906667,1.940000,0.060000,0.073333,0.075338,0.056335,67.256254,0.866999,1.337329,0.747759,0.914634
16,0.004244,70.000000,0.000000,1.473333,2.086667,0.083333,0.070000,0.085179,0.063445,144.933370,0.880405,1.342564,0.744843,0.935129
17,0.003489,70.000000,0.000000,1.210000,2.090000,0.080000,0.056667,0.078830,0.056352,7.145247,0.885080,1.398884,0.714856,0.938714
18,0.003611,24.000000,0.000000,2.013333,2.096667,0.083333,0.056667,0.081890,0.056146,175.454344,0.878479,1.458519,0.685627,0.943396
19,0.003822,81.302326,41.009725,3.113333,2.100000,0.066667,0.073333,0.077141,0.063088,127.222195,0.854819,1.222754,0.817826,0.914894
20,0.003433,75.420712,7.395442,2.456667,2.190000,0.063333,0.073333,0.073482,0.059490,67.704193,0.770021,1.235202,0.809584,0.911504
21,0.003422,83.987013,35.650308,2.953333,2.240000,0.060000,0.073333,0.073558,0.059236,101.203134,0.818405,1.241783,0.805294,0.905882
22,0.004444,99.340000,37.027178,1.760000,2.246667,0.086667,0.073333,0.082127,0.068904,167.590631,0.817232,1.191901,0.838996,0.892857
23,0.004133,98.881720,33.205673,2.620000,2.260000,0.080000,0.066667,0.082528,0.063769,153.961035,0.855029,1.294176,0.772692,0.916256
24,0.004067,77.163934,16.785036,2.256667,2.300000,0.063333,0.083333,0.083034,0.062358,107.341137,0.876793,1.331560,0.750999,0.939666
25,0.004033,24.000000,0.000000,1.320000,2.320000,0.086667,0.060000,0.084129,0.061042,2.008289,0.713799,1.378200,0.725584,0.906367
26,0.003622,75.000000,0.000000,2.020000,2.343333,0.076667,0.066667,0.079756,0.057826,146.353010,0.874943,1.379235,0.725039,0.928775
27,0.003822,65.558140,42.746689,2.506667,2.373333,0.066667,0.080000,0.078148,0.062274,106.931057,0.816336,1.254897,0.796878,0.886598
28,0.004711,80.490566,41.461537,1.620000,2.420000,0.073333,0.080000,0.085934,0.069802,117.635105,0.877086,1.231103,0.812280,0.933921
29,0.004133,80.064516,41.601577,2.600000,2.520000,0.086667,0.060000,0.086240,0.061024,8.642745,0.855029,1.413211,0.707609,0.920792
30,0.003511,71.683544,37.828869,3.413333,2.560000,0.060000,0.073333,0.074069,0.060355,109.134239,0.881632,1.227223,0.814848,0.923977
31,0.003956,83.955056,38.323430,1.833333,2.566667,0.066667,0.073333,0.076299,0.066008,70.329522,0.884638,1.155904,0.865124,0.922280
32,0.003400,75.000000,0.000000,2.983333,2.586667,0.070000,0.073333,0.073703,0.058736,126.657871,0.578953,1.254814,0.796931,0.892128
33,0.003600,76.876543,39.624048,2.393333,2.600000,0.060000,0.080000,0.075160,0.060986,79.490963,0.820888,1.232417,0.811414,0.905028
34,0.003922,70.000000,0.000000,2.143333,2.653333,0.063333,0.083333,0.080909,0.061723,74.526058,0.879668,1.310840,0.762869,0.938830
35,0.004044,90.703297,38.150491,1.693333,2.720000,0.073333,0.073333,0.080094,0.064294,46.280167,0.810745,1.245736,0.802738,0.896552
36,0.003711,77.143713,17.415355,2.846667,2.720000,0.060000,0.083333,0.081442,0.058018,70.998565,0.866489,1.403731,0.712387,0.943503
37,0.003422,24.000000,0.000000,2.606667,2.843333,0.080000,0.053333,0.081066,0.053750,169.493479,0.890119,1.508190,0.663046,0.950617
38,0.004756,93.093458,30.999141,1.473333,2.880000,0.080000,0.080000,0.089132,0.067932,48.697440,0.848886,1.312073,0.762153,0.914530
39,0.004267,57.802083,39.782337,2.260000,2.880000,0.086667,0.066667,0.088386,0.061463,157.611118,0.794342,1.438036,0.695393,0.905660
40,0.003711,24.000000,0.000000,1.930000,2.883333,0.060000,0.080000,0.080079,0.059006,88.460990,0.805522,1.357146,0.736840,0.926491
41,0.003567,82.177570,40.249413,3.010000,2.913333,0.063333,0.073333,0.076396,0.059443,117.889399,0.904811,1.285210,0.778083,0.948301
42,0.004178,90.223404,35.205804,2.766667,2.946667,0.066667,0.080000,0.085203,0.062431,65.267947,0.864223,1.364760,0.732729,0.930693
43,0.003944,75.000000,0.000000,1.703333,2.950000,0.063333,0.083333,0.081404,0.061695,103.249898,0.634643,1.319467,0.757882,0.897598
44,0.003833,26.872464,23.721641,2.216667,3.073333,0.083333,0.060000,0.084210,0.057959,174.420624,0.837673,1.452927,0.688266,0.933694
45,0.004000,95.311111,32.777343,1.766667,3.193333,0.066667,0.080000,0.078217,0.065113,64.378180,0.854305,1.201261,0.832459,0.909091
46,0.004311,66.814433,42.934559,2.586667,3.213333,0.073333,0.080000,0.082162,0.066808,116.423240,0.880212,1.229820,0.813127,0.915094
47,0.003822,93.255814,32.324949,2.300000,3.246667,0.066667,0.073333,0.075287,0.064640,70.310445,0.854819,1.164710,0.858583,0.910053
48,0.003789,29.234604,31.840098,1.906667,3.426667,0.080000,0.063333,0.078518,0.061440,174.331032,0.863959,1.277968,0.782492,0.932969
49,0.003111,24.000000,0.000000,2.896667,3.510000,0.060000,0.073333,0.070967,0.055817,65.602724,0.811671,1.271408,0.786529,0.915033
50,0.003956,74.797753,39.207122,2.393333,3.540000,0.066667,0.073333,0.076722,0.065645,78.963513,0.829100,1.168743,0.855620,0.917526
