 ,Area,Mean,StdDev,BX,BY,Width,Height,Major,Minor,Angle,Circ.,AR,Round,Solidity
1,0.004011,71.000000,0.000000,2.273333,1.363333,0.086667,0.063333,0.082795,0.061684,1.993710,0.893487,1.342237,0.745025,0.937662
2,0.004689,78.497630,25.257416,2.783333,1.390000,0.063333,0.090000,0.091654,0.065137,93.036622,0.886220,1.407098,0.710683,0.955832
3,0.004311,72.886598,37.311421,1.680000,1.466667,0.080000,0.073333,0.082090,0.066866,161.087773,0.717644,1.227675,0.814548,0.885845
4,0.003733,85.285714,34.563917,1.900000,1.520000,0.073333,0.066667,0.075765,0.062739,27.805333,0.823659,1.207624,0.828072,0.908108
5,0.003522,74.000000,0.000000,2.633333,1.593333,0.073333,0.066667,0.074888,0.059884,40.212595,0.548064,1.250545,0.799651,0.892958
6,0.004222,84.042105,30.595813,3.033333,1.633333,0.073333,0.080000,0.082373,0.065263,120.610357,0.862064,1.262171,0.792285,0.904762
7,0.003744,74.000000,0.000000,2.116667,1.693333,0.076667,0.063333,0.078912,0.060416,154.177207,0.895462,1.306131,0.765620,0.945302
8,0.004667,69.657143,36.826064,1.473333,1.800000,0.066667,0.086667,0.086214,0.068919,77.671164,0.868812,1.250936,0.799401,0.929204
9,0.003911,84.397727,29.898419,2.466667,1.800000,0.073333,0.080000,0.077414,0.064327,125.498849,0.824290,1.203439,0.830952,0.880000
10,0.004044,57.137363,36.882179,2.786667,1.800000,0.080000,0.066667,0.082351,0.062532,23.528802,0.863797,1.316949,0.759331,0.914573
11,0.004000,61.400000,37.072180,1.806667,1.920000,0.080000,0.066667,0.080945,0.062919,24.904456,0.882492,1.286491,0.777308,0.913706
12,0.004211,74.000000,0.000000,3.403333,1.946667,0.086667,0.066667,0.088385,0.060663,161.883289,0.810231,1.456985,0.686349,0.925519
13,0.004178,89.670213,34.361960,2.073333,2.100000,0.080000,0.066667,0.081589,0.065196,148.178914,0.864223,1.251445,0.799076,0.921569
14,0.004222,80.326316,34.218741,1.506667,2.126667,0.073333,0.080000,0.079286,0.067804,86.061134,0.776370,1.169353,0.855174,0.896226
15,0.004044,97.043956,31.872650,2.913333,2.153333,0.066667,0.086667,0.079874,0.064471,85.657244,0.574180,1.238902,0.807167,0.858491
16,0.003556,87.437500,36.877445,2.666667,2.166667,0.073333,0.066667,0.072358,0.062565,163.239663,0.575398,1.156532,0.864654,0.851064
17,0.003956,30.994382,13.248012,2.290000,2.206667,0.083333,0.063333,0.081463,0.061824,8.823322,0.789934,1.317667,0.758917,0.931937
18,0.004078,30.000000,0.000000,1.713333,2.373333,0.066667,0.083333,0.084273,0.061609,108.525934,0.879189,1.367861,0.731068,0.936224
19,0.004222,77.189474,34.825246,1.466667,2.393333,0.086667,0.073333,0.084775,0.063414,36.266917,0.599418,1.336848,0.748028,0.855856
20,0.004044,88.406593,29.906366,1.993333,2.426667,0.066667,0.080000,0.081364,0.063291,110.215541,0.539448,1.285556,0.777873,0.866667
21,0.003689,85.445783,34.681199,2.973333,2.426667,0.066667,0.073333,0.077429,0.060660,54.535685,0.699031,1.276440,0.783429,0.892473
22,0.004267,73.479167,32.800681,2.306667,2.446667,0.080000,0.073333,0.081212,0.066892,139.428357,0.808518,1.214078,0.823671,0.905660
23,0.003600,93.148148,35.446418,1.013333,2.473333,0.073333,0.066667,0.073740,0.062160,24.130790,0.860919,1.186282,0.842970,0.905028
24,0.004167,74.000000,0.000000,3.250000,2.506667,0.083333,0.063333,0.082463,0.064334,170.683870,0.934491,1.281806,0.780149,0.955414
